timestamp,left_contact,right_contact
0.000,0,0
0.010,0,0
0.020,0,0
0.030,0,0
0.040,0,0
0.050,0,0
0.060,0,0
0.070,0,0
0.080,0,0
0.090,0,0
0.100,0,0
0.110,0,0
0.120,0,0
0.130,0,0
0.140,0,0
0.150,0,0
0.160,0,0
0.170,0,0
0.180,0,0
0.190,0,0
0.200,0,0
0.210,0,0
0.220,0,0
0.230,0,0
0.240,0,0
0.250,0,0
0.260,0,0
0.270,0,0
0.280,0,0
0.290,0,0
0.300,0,0
0.310,0,0
0.320,0,0
0.330,0,0
0.340,0,0
0.350,0,0
0.360,0,0
0.370,0,0
0.380,0,0
0.390,0,0
0.400,0,0
0.410,0,0
0.420,0,0
0.430,0,0
0.440,0,0
0.450,0,0
0.460,0,0
0.470,0,0
0.480,0,0
0.490,0,0
0.500,0,0
0.510,0,0
0.520,0,0
0.530,0,0
0.540,0,0
0.550,0,0
0.560,0,0
0.570,0,0
0.580,0,0
0.590,0,0
0.600,0,0
0.610,0,0
0.620,0,0
0.630,0,0
0.640,0,0
0.650,0,0
0.660,0,0
0.670,0,0
0.680,0,0
0.690,0,0
0.700,0,0
0.710,0,0
0.720,0,0
0.730,0,0
0.740,0,0
0.750,0,0
0.760,0,0
0.770,0,0
0.780,0,0
0.790,0,0
0.800,0,0
0.810,0,0
0.820,0,0
0.830,0,0
0.840,0,0
0.850,0,0
0.860,0,0
0.870,0,0
0.880,0,0
0.890,0,0
0.900,0,0
0.910,0,0
0.920,0,0
0.930,0,0
0.940,0,0
0.950,0,0
0.960,0,0
0.970,0,0
0.980,0,0
0.990,0,0
1.000,0,0
1.010,0,0
1.020,0,0
1.030,0,0
1.040,0,0
1.050,0,0
1.060,0,0
1.070,0,0
1.080,0,0
1.090,0,0
1.100,0,0
1.110,0,0
1.120,0,0
1.130,0,0
1.140,0,0
1.150,0,0
1.160,0,0
1.170,0,0
1.180,0,0
1.190,0,0
1.200,0,0
1.210,0,0
1.220,0,0
1.230,0,0
1.240,0,0
1.250,0,0
1.260,0,0
1.270,0,0
1.280,0,0
1.290,0,0
1.300,0,0
1.310,0,0
1.320,0,0
1.330,0,0
1.340,0,0
1.350,0,0
1.360,0,0
1.370,0,0
1.380,0,0
1.390,0,0
1.400,0,0
1.410,0,0
1.420,0,0
1.430,0,0
1.440,0,0
1.450,0,0
1.460,0,0
1.470,0,0
1.480,0,0
1.490,0,0
1.500,0,0
1.510,0,0
1.520,0,0
1.530,0,0
1.540,0,0
1.550,0,0
1.560,0,0
1.570,0,0
1.580,0,0
1.590,0,0
1.600,0,0
1.610,0,0
1.620,0,0
1.630,0,0
1.640,0,0
1.650,0,0
1.660,0,0
1.670,0,0
1.680,0,0
1.690,0,0
1.700,0,0
1.710,0,0
1.720,0,0
1.730,0,0
1.740,0,0
1.750,0,0
1.760,0,0
1.770,0,0
1.780,0,0
1.790,0,0
1.800,0,0
1.810,0,0
1.820,0,0
1.830,0,0
1.840,0,0
1.850,0,0
1.860,0,0
1.870,0,0
1.880,0,0
1.890,0,0
1.900,0,0
1.910,0,0
1.920,0,0
1.930,0,0
1.940,0,0
1.950,0,0
1.960,0,0
1.970,0,0
1.980,0,0
1.990,0,0
2.000,0,0
2.010,0,0
2.020,0,0
2.030,0,0
2.040,0,0
2.050,0,0
2.060,0,0
2.070,0,0
2.080,0,0
2.090,0,0
2.100,0,0
2.110,0,0
2.120,0,0
2.130,0,0
2.140,0,0
2.150,0,0
2.160,0,0
2.170,0,0
2.180,0,0
2.190,0,0
2.200,0,0
2.210,0,0
2.220,0,0
2.230,0,0
2.240,0,0
2.250,0,0
2.260,0,0
2.270,0,0
2.280,0,0
2.290,0,0
2.300,0,0
2.310,0,0
2.320,0,0
2.330,0,0
2.340,0,0
2.350,0,0
2.360,0,0
2.370,0,0
2.380,0,0
2.390,0,0
2.400,0,0
2.410,0,0
2.420,0,0
2.430,0,0
2.440,0,0
2.450,0,0
2.460,0,0
2.470,0,0
2.480,0,0
2.490,0,0
2.500,0,0
2.510,0,0
2.520,0,0
2.530,0,0
2.540,0,0
2.550,0,0
2.560,0,0
2.570,0,0
2.580,0,0
2.590,0,0
2.600,0,0
2.610,0,0
2.620,0,0
2.630,0,0
2.640,0,0
2.650,0,0
2.660,0,0
2.670,0,0
2.680,0,0
2.690,0,0
2.700,0,0
2.710,0,0
2.720,0,0
2.730,0,0
2.740,0,0
2.750,0,0
2.760,0,0
2.770,0,0
2.780,0,0
2.790,0,0
2.800,0,0
2.810,0,0
2.820,0,0
2.830,0,0
2.840,0,0
2.850,0,0
2.860,0,0
2.870,0,0
2.880,0,0
2.890,0,0
2.900,0,0
2.910,0,0
2.920,0,0
2.930,0,0
2.940,0,0
2.950,0,0
2.960,0,0
2.970,0,0
2.980,0,0
2.990,0,0
3.000,1,0
3.010,1,0
3.020,1,0
3.030,1,0
3.040,1,0
3.050,1,0
3.060,1,0
3.070,1,0
3.080,1,0
3.090,1,0
3.100,1,0
3.110,1,0
3.120,1,0
3.130,1,0
3.140,1,0
3.150,1,0
3.160,1,0
3.170,1,0
3.180,1,0
3.190,1,0
3.200,1,0
3.210,1,0
3.220,1,0
3.230,1,0
3.240,1,0
3.250,1,0
3.260,1,0
3.270,1,0
3.280,1,0
3.290,1,0
3.300,1,0
3.310,1,0
3.320,1,0
3.330,1,0
3.340,1,0
3.350,1,0
3.360,1,0
3.370,1,0
3.380,1,0
3.390,1,0
3.400,1,0
3.410,1,0
3.420,1,0
3.430,1,1
3.440,1,1
3.450,1,1
3.460,1,1
3.470,1,1
3.480,1,1
3.490,1,1
3.500,1,1
3.510,1,1
3.520,1,1
3.530,1,1
3.540,1,1
3.550,1,1
3.560,1,1
3.570,1,1
3.580,0,1
3.590,0,1
3.600,0,1
3.610,0,1
3.620,0,1
3.630,0,1
3.640,0,1
3.650,0,1
3.660,0,1
3.670,0,1
3.680,0,1
3.690,0,1
3.700,0,1
3.710,0,1
3.720,0,1
3.730,0,1
3.740,0,1
3.750,0,1
3.760,0,1
3.770,0,1
3.780,0,1
3.790,0,1
3.800,0,1
3.810,0,1
3.820,0,1
3.830,0,1
3.840,0,1
3.850,0,1
3.860,0,1
3.870,0,1
3.880,0,1
3.890,0,1
3.900,0,1
3.910,0,1
3.920,0,1
3.930,0,1
3.940,0,1
3.950,0,1
3.960,0,1
3.970,0,1
3.980,0,0
3.990,0,0
4.000,1,0
4.010,1,0
4.020,1,0
4.030,1,0
4.040,1,0
4.050,1,0
4.060,1,0
4.070,1,0
4.080,1,0
4.090,1,0
4.100,1,0
4.110,1,0
4.120,1,0
4.130,1,0
4.140,1,0
4.150,1,0
4.160,1,0
4.170,1,0
4.180,1,0
4.190,1,0
4.200,1,0
4.210,1,0
4.220,1,0
4.230,1,0
4.240,1,0
4.250,1,0
4.260,1,0
4.270,1,0
4.280,1,0
4.290,1,0
4.300,1,0
4.310,1,0
4.320,1,0
4.330,1,0
4.340,1,0
4.350,1,0
4.360,1,0
4.370,1,0
4.380,1,0
4.390,1,0
4.400,1,0
4.410,1,0
4.420,1,0
4.430,1,1
4.440,1,1
4.450,1,1
4.460,1,1
4.470,1,1
4.480,1,1
4.490,1,1
4.500,1,1
